,Object,Epoch (TDB),TP (TDB),e,i (deg),w (deg),Node (deg),q (AU),Q (AU),P (yr),MOID (AU),A1 (AU/d^2),A2 (AU/d^2),A3 (AU/d^2),DT (d),ref,Object_name
150,P/2011 NO1 (Elenin),55758.0,2455582.0919999997,0.776521252,15.27233838,263.6169668,296.09646019999997,1.2429255609999998,9.88,13.12,0.380652,0.380652,0.380652,0.380652,0.380652,8,P/2011 NO1 (Elenin)
151,C/2011 S2 (Kowalski),55857.0,2455860.848,0.9316035445,17.57253024,192.18994640000003,288.0701102,1.115118144,31.49,65.83,0.13779,0.13779,0.13779,0.13779,0.13779,16,C/2011 S2 (Kowalski)
152,P/2012 NJ (La Sagra),56158.0,2456091.59,0.8480618337000001,84.37545937,338.4139159,315.7631836,1.2918900690000001,15.71,24.79,0.315258,0.315258,0.315258,0.315258,0.315258,31,P/2012 NJ (La Sagra)
153,P/2013 CU129 (PANSTARRS),56475.0,2456511.432,0.7221050362,12.14763226,211.97227169999996,46.20979967,0.8001476909999999,4.96,4.89,0.085523,0.085523,0.085523,0.085523,0.085523,38,P/2013 CU129 (PANSTARRS)
154,P/2013 TL117 (Lemmon),56674.0,2456706.719,0.6899137951000001,9.365636389,112.199132,3.362021948,1.117672075,6.09,6.84,0.20162,0.20162,0.20162,0.20162,0.20162,45,P/2013 TL117 (Lemmon)
155,P/2014 U2 (Kowalski),56974.0,2456937.65,0.6029487638000001,7.495593453,35.25220977,356.1806792,1.164298274,4.7,5.02,0.183671,0.183671,0.183671,0.183671,0.183671,10,P/2014 U2 (Kowalski)
156,P/2015 A3 (PANSTARRS),57040.0,2457076.25,0.8481676984000001,172.5137446,249.5086139,277.0821425,1.15385721,14.05,20.95,0.204591,0.204591,0.204591,0.204591,0.204591,1,P/2015 A3 (PANSTARRS)
157,C/2015 D1 (SOHO),57073.0,2457073.248,0.9942677736,69.61628937,234.95301659999998,95.88138486,0.02832105639,9.85,10.98,0.5159159999999999,1.25e-06,1.25e-06,1.25e-06,1.25e-06,3,C/2015 D1 (SOHO)
158,C/2015 F2 (Polonia),57110.0,2457141.3430000003,0.9623991817,28.66103039,352.0587584,262.4816139,1.209544218,63.13,182.45,0.198704,0.198704,0.198704,0.198704,0.198704,6,C/2015 F2 (Polonia)
159,C/2015 F5 (SWAN-Xingming),57124.0,2457109.599,0.9777341145999999,149.2569445,13.39233003,287.7390236,0.3460051321,30.73,61.26,0.441413,0.441413,0.441413,0.441413,0.441413,2,C/2015 F5 (SWAN-Xingming)
